Date/Time,Electricity:Facility [J](Hourly),NaturalGas:Facility [J](Hourly),Cooling:Electricity [J](Hourly),Fans:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),NaturalGas:Facility [J](Daily),Electricity:Facility [J](TimeStep),Electricity:Facility [J](Daily) 
 01/01  06:20:00,,,,,,,1556078571.4285684 
 01/01  06:30:00,,,,,,,1556078571.4285684 
 01/01  06:40:00,,,,,,,1556078571.4285684 
 01/01  06:50:00,,,,,,,1556078571.4285684 
 01/01  07:00:00,9336471428.57141,21055397397.13344,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  07:10:00,,,,,,,1556078571.4285684 
 01/01  07:20:00,,,,,,,1556078571.4285684 
 01/01  07:30:00,,,,,,,1556078571.4285684 
 01/01  07:40:00,,,,,,,1556078571.4285684 
 01/01  07:50:00,,,,,,,1556078571.4285684 
 01/01  08:00:00,9336471428.57141,21060102410.08963,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  08:10:00,,,,,,,1556078571.4285684 
 01/01  08:20:00,,,,,,,1556078571.4285684 
 01/01  08:30:00,,,,,,,1556078571.4285684 
 01/01  08:40:00,,,,,,,1556078571.4285684 
 01/01  08:50:00,,,,,,,1556078571.4285684 
 01/01  09:00:00,9336471428.57141,20151338923.1353,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  09:10:00,,,,,,,1556078571.4285684 
 01/01  09:20:00,,,,,,,1556078571.4285684 
 01/01  09:30:00,,,,,,,1556078571.4285684 
 01/01  09:40:00,,,,,,,1556078571.4285684 
 01/01  09:50:00,,,,,,,1556078571.4285684 
 01/01  10:00:00,9336471428.57141,18682919771.5061,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  10:10:00,,,,,,,1556078571.4285684 
 01/01  10:20:00,,,,,,,1556078571.4285684 
 01/01  10:30:00,,,,,,,1556078571.4285684 
 01/01  10:40:00,,,,,,,1556078571.4285684 
 01/01  10:50:00,,,,,,,1556078571.4285684 
 01/01  11:00:00,9336471428.57141,17293449895.296154,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  11:10:00,,,,,,,1556078571.4285684 
 01/01  11:20:00,,,,,,,1556078571.4285684 
 01/01  11:30:00,,,,,,,1556078571.4285684 
 01/01  11:40:00,,,,,,,1556078571.4285684 
 01/01  11:50:00,,,,,,,1556078571.4285684 
 01/01  12:00:00,9336471428.57141,15059999647.79967,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  12:10:00,,,,,,,1556078571.4285684 
 01/01  12:20:00,,,,,,,1556078571.4285684 
 01/01  12:30:00,,,,,,,1556078571.4285684 
 01/01  12:40:00,,,,,,,1556078571.4285684 
 01/01  12:50:00,,,,,,,1556078571.4285684 
 01/01  13:00:00,9336471428.57141,14010976621.554073,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  13:10:00,,,,,,,1556078571.4285684 
 01/01  13:20:00,,,,,,,1556078571.4285684 
 01/01  13:30:00,,,,,,,1556078571.4285684 
 01/01  13:40:00,,,,,,,1556078571.4285684 
 01/01  13:50:00,,,,,,,1556078571.4285684 
 01/01  14:00:00,9336471428.57141,15537584018.746147,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  14:10:00,,,,,,,1556078571.4285684 
 01/01  14:20:00,,,,,,,1556078571.4285684 
 01/01  14:30:00,,,,,,,1556078571.4285684 
 01/01  14:40:00,,,,,,,1556078571.4285684 
 01/01  14:50:00,,,,,,,1556078571.4285684 
 01/01  15:00:00,9336471428.57141,16632198641.010767,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  15:10:00,,,,,,,1556078571.4285684 
 01/01  15:20:00,,,,,,,1556078571.4285684 
 01/01  15:30:00,,,,,,,1556078571.4285684 
 01/01  15:40:00,,,,,,,1556078571.4285684 
 01/01  15:50:00,,,,,,,1556078571.4285684 
 01/01  16:00:00,9336471428.57141,22131169851.147976,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  16:10:00,,,,,,,1556078571.4285684 
 01/01  16:20:00,,,,,,,1556078571.4285684 
 01/01  16:30:00,,,,,,,1556078571.4285684 
 01/01  16:40:00,,,,,,,1556078571.4285684 
 01/01  16:50:00,,,,,,,1556078571.4285684 
 01/01  17:00:00,9336471428.57141,28623772114.241547,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  17:10:00,,,,,,,1556078571.4285684 
 01/01  17:20:00,,,,,,,1556078571.4285684 
 01/01  17:30:00,,,,,,,1556078571.4285684 
 01/01  17:40:00,,,,,,,1556078571.4285684 
 01/01  17:50:00,,,,,,,1556078571.4285684 
 01/01  18:00:00,9336471428.57141,31208260608.039413,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  18:10:00,,,,,,,1556078571.4285684 
 01/01  18:20:00,,,,,,,1556078571.4285684 
 01/01  18:30:00,,,,,,,1556078571.4285684 
 01/01  18:40:00,,,,,,,1556078571.4285684 
 01/01  18:50:00,,,,,,,1556078571.4285684 
 01/01  19:00:00,9336471428.57141,31786316361.385696,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  19:10:00,,,,,,,1556078571.4285684 
 01/01  19:20:00,,,,,,,1556078571.4285684 
 01/01  19:30:00,,,,,,,1556078571.4285684 
 01/01  19:40:00,,,,,,,1556078571.4285684 
 01/01  19:50:00,,,,,,,1556078571.4285684 
 01/01  20:00:00,9336471428.57141,31797289686.673157,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  20:10:00,,,,,,,1556078571.4285684 
 01/01  20:20:00,,,,,,,1556078571.4285684 
 01/01  20:30:00,,,,,,,1556078571.4285684 
 01/01  20:40:00,,,,,,,1556078571.4285684 
 01/01  20:50:00,,,,,,,1556078571.4285684 
 01/01  21:00:00,9336471428.57141,32661427764.071625,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  21:10:00,,,,,,,1556078571.4285684 
 01/01  21:20:00,,,,,,,1556078571.4285684 
 01/01  21:30:00,,,,,,,1556078571.4285684 
 01/01  21:40:00,,,,,,,1556078571.4285684 
 01/01  21:50:00,,,,,,,1556078571.4285684 
 01/01  22:00:00,9336471428.57141,34008024070.320446,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  22:10:00,,,,,,,1556078571.4285684 
 01/01  22:20:00,,,,,,,1556078571.4285684 
 01/01  22:30:00,,,,,,,1556078571.4285684 
 01/01  22:40:00,,,,,,,1556078571.4285684 
 01/01  22:50:00,,,,,,,1556078571.4285684 
 01/01  23:00:00,9336471428.57141,35401187023.59641,0.0,2136471428.5714288,7199999999.999982,,1556078571.4285684 
 01/01  23:10:00,,,,,,,1556078571.4285684 
 01/01  23:20:00,,,,,,,1556078571.4285684 
